nada-1,10pf-1,10pf-2,nada-2,39pf-1,conect-1,22pf-1,22pf-2,conect-2
21999,22257,22504,23538,18721,19829,20187,20602,15282
21932,22306,22573,23633,18977,19618,20378,20633,15234
21934,22375,22632,23730,19070,19583,20459,20866,15389
21873,22425,22610,23805,19312,19636,20504,21027,14629
21644,22596,22632,23758,19573,19621,20447,21372,14564
21663,22622,22636,23772,19576,19577,20268,21466,14926
21687,22629,22614,23714,19582,19590,20264,21493,15196
21799,22694,22637,23716,19680,19677,20360,21479,15326
21784,22756,22719,23833,19161,19770,20400,21512,15155
21855,22740,22682,23842,19122,19728,20391,21528,15154
21889,22746,22621,23916,19137,19607,20214,21545,15106
21632,22828,22599,23871,18868,19604,20256,21417,14762
21696,22918,22570,23883,18928,19442,20326,21467,14902
21705,22926,22577,23977,18862,19508,20229,21371,14849
21595,22870,22550,23973,18891,19389,20248,21449,14795
21603,22929,22630,23891,19063,19401,20262,21400,14830
21685,22927,22636,23849,19064,19724,20212,21516,15026
21827,22966,22424,23673,18617,19818,20247,21578,14564
21962,23038,22449,23576,18528,19828,20365,21658,14902
21974,23033,22716,23502,18516,19875,20384,21664,15158
22004,23062,22645,23407,18539,20052,20384,21752,15276
21977,23043,22646,23350,18976,20173,20346,21652,15316
21980,23039,22719,23350,19049,20238,20012,21657,15265
21940,22931,22817,23538,19027,20232,19969,21730,15299
21850,22854,22826,23618,18515,19969,19992,21447,15154
21868,22858,22786,23634,18460,19289,19920,21455,15160
21624,22681,22816,23584,17814,19078,19937,21465,14787
21563,22690,22858,23661,17791,18956,19894,21379,14751
21570,22654,22973,23773,18312,18571,19556,21189,14756
21480,22656,22633,23655,18337,18495,19813,20933,14939
21511,22576,22605,23637,18758,18778,19844,20993,15204
21426,22742,22618,23652,18810,18827,19973,21086,15491
21448,22753,22585,23761,19007,18848,19992,21088,15493
21504,22394,22621,23738,19471,18760,20217,20973,15647
21612,22153,22782,23757,19479,18760,20233,21132,15535
21717,22091,22758,23915,19094,18946,20260,21212,15442
21745,22046,22772,23939,19088,18910,20133,21012,15457
